2021-08-18 18:33:49,987 | discover | walk | 76 | DEBUG | Accept filename region: AAGC
2021-08-18 18:33:49,987 | discover | walk | 87 | DEBUG | Discovered PDF: {'filename': 'AAGC - TOP25 Remediation with Details.pdf', 'type': 'TOP25 Remediation with Details', 'region': 'AAGC', 'root': './test2', 'path': './test2\\AAGC - TOP25 Remediation with Details.pdf'}
2021-08-18 18:33:49,987 | discover | attributes_from_filename | 35 | INFO | Parsed filename for attributes: {'filename': 'AAGS - Top 10 Assets by Vurlnerabilities - External.pdf', 'type': 'Top 10 Assets by Vurlnerabilities - External', 'region': 'AAGS'}
2021-08-18 18:33:49,987 | discover | walk | 76 | DEBUG | Accept filename region: AAGS
2021-08-18 18:33:49,987 | discover | walk | 87 | DEBUG | Discovered PDF: {'filename': 'AAGS - Top 10 Assets by Vurlnerabilities - External.pdf', 'type': 'Top 10 Assets by Vurlnerabilities - External', 'region': 'AAGS', 'root': './test2', 'path': './test2\\AAGS - Top 10 Assets by Vurlnerabilities - External.pdf'}
2021-08-18 18:33:49,987 | discover | attributes_from_filename | 35 | INFO | Parsed filename for attributes: {'filename': 'AAGS - Top 10 Assets by Vurlnerabilities.pdf', 'type': 'Top 10 Assets by Vurlnerabilities', 'region': 'AAGS'}
2021-08-18 18:33:49,987 | discover | walk | 76 | DEBUG | Accept filename region: AAGS
2021-08-18 18:33:49,987 | discover | walk | 87 | DEBUG | Discovered PDF: {'filename': 'AAGS - Top 10 Assets by Vurlnerabilities.pdf', 'type': 'Top 10 Assets by Vurlnerabilities', 'region': 'AAGS', 'root': './test2', 'path': './test2\\AAGS - Top 10 Assets by Vurlnerabilities.pdf'}
2021-08-18 18:33:49,988 | discover | attributes_from_filename | 35 | INFO | Parsed filename for attributes: {'filename': 'AAGS - TOP25 Remediation with Details.pdf', 'type': 'TOP25 Remediation with Details', 'region': 'AAGS'}
2021-08-18 18:33:49,988 | discover | walk | 76 | DEBUG | Accept filename region: AAGS
2021-08-18 18:33:49,988 | discover | walk | 87 | DEBUG | Discovered PDF: {'filename': 'AAGS - TOP25 Remediation with Details.pdf', 'type': 'TOP25 Remediation with Details', 'region': 'AAGS', 'root': './test2', 'path': './test2\\AAGS - TOP25 Remediation with Details.pdf'}
2021-08-18 18:33:49,989 | discover | attributes_from_filename | 35 | INFO | Parsed filename for attributes: {'filename': 'AAGT - Top 10 Assets by Vurlnerabilities.pdf', 'type': 'Top 10 Assets by Vurlnerabilities', 'region': 'AAGT'}
2021-08-18 18:33:49,989 | discover | walk | 76 | DEBUG | Accept filename region: AAGT
2021-08-18 18:33:49,989 | discover | walk | 87 | DEBUG | Discovered PDF: {'filename': 'AAGT - Top 10 Assets by Vurlnerabilities.pdf', 'type': 'Top 10 Assets by Vurlnerabilities', 'region': 'AAGT', 'root': './test2', 'path': './test2\\AAGT - Top 10 Assets by Vurlnerabilities.pdf'}
2021-08-18 18:33:49,989 | discover | attributes_from_filename | 35 | INFO | Parsed filename for attributes: {'filename': 'AAGT - TOP25 Remediation with Details.pdf', 'type': 'TOP25 Remediation with Details', 'region': 'AAGT'}
2021-08-18 18:33:49,989 | discover | walk | 76 | DEBUG | Accept filename region: AAGT
2021-08-18 18:33:49,990 | discover | walk | 87 | DEBUG | Discovered PDF: {'filename': 'AAGT - TOP25 Remediation with Details.pdf', 'type': 'TOP25 Remediation with Details', 'region': 'AAGT', 'root': './test2', 'path': './test2\\AAGT - TOP25 Remediation with Details.pdf'}
